words,sentiment_coeff
situat,-26.098219586229714
retour,-36.94987706987388
vax,-33.96797343097864
chi,-32.61377511339379
obligatoir,-34.37027752686272
fr,-30.420932145558478
froid,-7.542376421542119
suffir,-24.21831767422038
acc,-28.403968273794355
insult,-25.205839094967683
notr,-29.721413236315495
derr,-27.780734037687132
pardon,-25.929632831705053
inutil,-31.288279957344432
souffl,-1.9136856683865346
presidentiel,-40.02609301099846
dieu,-17.389305698210926
racont,-29.34470826149038
doubl,-7.998715034068374
joindr,-11.211874979550073
brigitt,-28.747199227921065
termin,-28.591512161681106
malgr,-29.11499163731681
quitt,-39.823598369834805
dern,-16.50634147045237
cach,-19.35460530561494
cision,-36.767283050427075
ur,-14.21553228432986
mag,-29.67035308898875
enseign,-34.65718192895438
go,-23.500264373306006
franch,-40.12851416278015
vou,-19.99352769320104
mod,-29.551706284494145
tez,-20.590166587993846
bient,-13.698957942297584
fill,-32.128790838220986
ta,-3.557632931109476
inqui,-37.87878177472322
truir,-32.736521439181104
putain,-30.742981981236223
menac,-34.92782804584775
apprentissag,-25.56980152635992
ind,-26.18657601146369
handicap,-27.839939247257785
faut,-27.78335858861513
divis,-27.40242608131266
in,-29.581422961637433
crit,-38.27256678261792
pot,-14.76322202855864
ress,-15.660271177295735
uniqu,-34.33809653595375
pos,-33.37889895577999
derni,-29.65047311346061
personnel,-26.767783540062556
recon,-31.383052923700994
rapport,-27.348543530418656
promess,-37.04393811804228
ratio,0.0
pratiqu,-28.459994249219065
tourn,-31.596356790895474
incomp,-22.43332704626163
rieux,-22.67961916846643
remerci,-28.47948199997383
chin,-30.959231376316687
piqu,-32.54030307002625
path,-18.625519432923618
ete,-32.67434253972246
partout,-19.530401149243605
facepalm,-1.798314526803107
chois,-28.55954379148533
renc,-24.431323944754197
retourn,-31.912007714891836
fonc,2.076668338509411
proch,-29.22834008081411
ordre,-9.724246517116766
vieux,-39.74905559525635
gestion,-31.048911411131588
nul,-37.43829884276418
sidenc,-33.21242833126477
pen,-36.7149037727733
valoir,-36.515593041656004
barr,-29.96918220764686
det,-26.930611181067615
trois,-32.096610505053775
profit,-40.557668290707596
rentr,-32.7696829384552
prem,-34.2771207784503
limit,-30.681867304119955
diff,-26.859831558946176
allemagn,-30.36938948399643
dang,-32.818648064526755
frais,-33.31451866694199
anti,-30.034305679247904
hain,-26.405643135642148
fic,-33.1390505421858
dommag,-44.48214566960799
exact,-43.690603399637425
nombreux,-33.366430254640235
naz,-39.546193631162794
catastroph,-31.703033230410618
rap,-22.776586020200366
parent,-24.75667934556136
twitt,-14.886321238987135
preuv,-32.66866721676414
achet,-30.4884790702901
respons,-30.259906315692376
lrem,-26.341744273461206
contribu,-34.62768380310744
toi,-34.31702740208759
charg,-27.075675094957123
uvre,-19.34601159541668
long,-31.9302442210994
militair,-32.11007101089351
essenc,-28.682460422489832
macrondestitu,-34.42213179646425
international,-33.132677423745044
puisqu,-38.58034926564662
soir,-38.007990606376005
wallet,0.0
one,-20.664388105130133
criminel,-27.75263841719573
amp,-25.868056952942137
em,-19.235942109108638
major,-32.906372231153725
demain,-32.25752685612976
psychiatr,-37.014686295993975
pein,-32.081772913947724
rim,-32.008693937032966
pensantvisag,-12.869645489467416
n,-26.382050457826615
bais,-7.795611357929517
censur,-22.101645505900013
ducat,-32.54269627340448
soi,-35.02235650484764
roi,-37.027941065076135
voix,-33.42583050153103
paris,-32.89456721725564
union,-28.241042816082622
maison,-24.262265162473213
commercial,-31.318311221346327
poudr,-32.787289006666796
soldat,-34.78865934509575
blanc,-3.985651519633915
lor,-32.77136955893592
lequel,-38.204193146755784
honteux,-32.15013890948567
gu,-14.697531649599284
hauss,-6.788746356153584
animal,-30.570759099390994
boss,-32.441139226857516
reprendr,-31.8757711108326
revoir,-19.698383704223474
